"CÓDIGO DE LA SERIE",DEEM.N.ES.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL,DEEM.N.ES.W1.S1.S1.T.B.GS._Z._Z._Z.EUR._T._X.N.ALL,DEEM.N.ES.W1.S1.S1.T.B.IN._Z._Z._Z.EUR._T._X.N.ALL,DEEM.N.ES.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL,DEEM.N.ES.W1.S1.S1.T.B.CKA._Z._Z._Z.EUR._T._X.N.ALL,DEEM.N.ES.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,DEEM.N.ES.W1.S121.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,DEEM.N.ES.W1.S1ZK.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,DEEM.N.ES.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL
"NÚMERO SECUENCIAL",2386880,2386941,2386942,2386885,2386886,2386887,2386888,2386889,2386890
"ALIAS DE LA SERIE","BE_17_1.1","BE_17_1.2","BE_17_1.3","BE_17_1.4","BE_17_1.5","BE_17_1.6","BE_17_1.7","BE_17_1.8","BE_17_1.9"
"DESCRIPCIÓN DE LA SERIE","Balanza de Pagos. Cuenta corriente. Total cuenta corriente. Saldo","Balanza de Pagos. Cuenta corriente. Bienes y servicios. Saldo","Balanza de Pagos. Cuenta corriente. Rentas primaria y secundaria. Saldo","Balanza de Pagos. Cuenta de capital. Total cuenta de capital. Saldo","Balanza de Pagos. Cuentas corriente y de capital. Total cuentas corriente y de capital. Saldo","Balanza de Pagos. Cuenta financiera. Variación neta (activos-pasivos)","Balanza de Pagos. Cuenta financiera. Banco de España. Variación neta (activos-pasivos)","Balanza de Pagos. Cuenta financiera. Todos los sectores excluido el Banco de España. Variación neta (activos-pasivos)","Balanza de Pagos. Errores y omisiones. Variación neta (activos-pasivos)"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros"
"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"ENE 1993",-831,-836,5,132,-700,-289,1977,-2265,411
"FEB 1993",-845,-649,-197,58,-787,-838,-1789,951,-51
"MAR 1993",-1186,-883,-303,109,-1077,-913,-2085,1172,163
"ABR 1993",-1187,-766,-421,90,-1097,-941,-2799,1859,157
"MAY 1993",-427,-455,28,90,-337,56,331,-275,392
"JUN 1993",-940,-590,-350,43,-897,-435,927,-1362,462
"JUL 1993",-9,281,-290,192,183,420,453,-34,236
"AGO 1993",43,22,21,66,110,809,-946,1755,699
"SEP 1993",-683,-532,-151,293,-390,-276,-21,-255,114
"OCT 1993",-1216,-852,-365,454,-762,40,104,-64,803
"NOV 1993",-243,-679,436,511,268,505,62,443,237
"DIC 1993",-603,-252,-351,468,-135,107,144,-38,241
"ENE 1994",-743,-227,-515,428,-314,-419,-165,-254,-105
"FEB 1994",-495,-395,-99,82,-413,-280,-84,-196,133
"MAR 1994",-1248,-471,-777,14,-1234,-1121,-247,-873,113
"ABR 1994",-1054,-426,-628,187,-867,-195,-90,-106,672
"MAY 1994",-514,-61,-453,19,-495,-52,-379,326,443
"JUN 1994",-846,-212,-633,72,-774,-119,-73,-46,655
"JUL 1994",-464,379,-844,56,-408,-507,547,-1055,-99
"AGO 1994",282,310,-28,44,326,1179,132,1048,854
"SEP 1994",-1327,-762,-565,44,-1284,-991,-164,-827,293
"OCT 1994",-1093,-753,-340,15,-1078,-551,312,-863,527
"NOV 1994",-1236,-938,-298,73,-1163,-569,-161,-408,594
"DIC 1994",-443,-375,-68,1138,695,455,307,149,-240
"ENE 1995",-1193,-625,-568,579,-614,-193,-194,2,422
"FEB 1995",-1249,-704,-545,10,-1238,-759,-2061,1302,479
"MAR 1995",-1079,-950,-129,83,-997,-560,-3576,3016,437
"ABR 1995",-828,-501,-328,113,-716,-676,-1002,325,39
"MAY 1995",-785,-474,-311,330,-455,-103,516,-619,352
