"CÓDIGO DE LA SERIE",DEEQ.N.ES.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.B.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.B.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL
"NÚMERO SECUENCIAL",2417264,2417268,2417273,2417266,2417267,2417265,2417271,2417272,2417270,2417276,2417277,2417275
"ALIAS DE LA SERIE","BE_17_4.1","BE_17_4.2","BE_17_4.3","BE_17_4.4","BE_17_4.5","BE_17_4.6","BE_17_4.7","BE_17_4.8","BE_17_4.9","BE_17_4.10","BE_17_4.11","BE_17_4.12"
"DESCRIPCIÓN DE LA SERIE","Balanza de Pagos. Cuenta corriente. Bienes. Saldo","Balanza de Pagos. Cuenta corriente. Bienes. Ingresos","Balanza de Pagos. Cuenta corriente. Bienes. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Saldo","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. Saldo","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. Saldo","Balanza de Pagos. Cuenta corriente. Servicios. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. Pagos"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1993",-3091,11009,14100,723,1824,-1100,4285,2667,1618,3562,843,2718
"JUN 1993",-3635,12130,15764,1824,2882,-1059,5714,3712,2002,3890,830,3060
"SEP 1993",-3763,10652,14414,3534,4557,-1023,7909,5707,2202,4375,1151,3225
"DIC 1993",-3217,13614,16831,1434,2543,-1109,5568,3365,2203,4134,821,3312
"MAR 1994",-2279,14618,16897,1186,2269,-1083,5086,2995,2090,3900,726,3174
"JUN 1994",-3685,15240,18925,2986,3925,-939,7004,4656,2348,4018,731,3287
"SEP 1994",-4259,12632,16890,4186,5234,-1048,8654,6280,2374,4468,1046,3422
"DIC 1994",-4013,16742,20755,1947,2908,-961,6455,3757,2698,4508,849,3659
"MAR 1995",-3395,18293,21689,1116,2409,-1293,5631,3140,2491,4515,730,3785
"JUN 1995",-4467,17939,22406,3565,4580,-1015,8298,5392,2905,4733,812,3921
