"CÓDIGO DE LA SERIE",DEEQ.N.ES.W1.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SPX4._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SC._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SE._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SF._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SG._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SH._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SI._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SJ._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SJ1._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SJ2._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SJ3._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.C.SPZZ1._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SPX4._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SC._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SE._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SF._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SG._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SH._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SI._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SJ._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SJ1._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SJ2._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SJ3._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.SPZZ1._Z._Z._Z.EUR._T._X.N.ALL
"NÚMERO SECUENCIAL",2417270,2721854,2672977,2672982,2672983,2672984,2672985,2672986,2672987,2672988,2672989,2672990,2721856,2417275,2721855,2672995,2673000,2673001,2673002,2673003,2673004,2673005,2673006,2673007,2673008,2721857
"ALIAS DE LA SERIE","BE_17_4A.1","BE_17_4A.2","BE_17_4A.3","BE_17_4A.4","BE_17_4A.5","BE_17_4A.6","BE_17_4A.7","BE_17_4A.8","BE_17_4A.9","BE_17_4A.10","BE_17_4A.11","BE_17_4A.12","BE_17_4A.13","BE_17_4A.14","BE_17_4A.15","BE_17_4A.16","BE_17_4A.17","BE_17_4A.18","BE_17_4A.19","BE_17_4A.20","BE_17_4A.21","BE_17_4A.22","BE_17_4A.23","BE_17_4A.24","BE_17_4A.25","BE_17_4A.26"
"DESCRIPCIÓN DE LA SERIE","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Transformación de bienes sin traspaso de la propiedad y mantenimiento y reparaciones. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Transporte. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Construcción. España frente a Construcción. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Seguros y pensiones. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios financieros. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Cargos por el uso de propiedad intelectual niop. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Telecomunicaciones, informática e información. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Otros servicios empresariales. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. I+D. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Consultoría profesional y de gestión. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios técnicos, relacionados con el comercio y otros servicios empresariales. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Personales, culturales y recreativos y bienes y servicios de las AAPP. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Transformación de bienes sin traspaso de la propiedad y mantenimiento y reparaciones. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Transporte. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Construcción. España frente a Construcción. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Seguros y pensiones. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios financieros. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Cargos por el uso de propiedad intelectual niop. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Telecomunicaciones, informática e información. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Otros servicios empresariales. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. I+D. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Consultoría profesional y de gestión. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios técnicos, relacionados con el comercio y otros servicios empresariales. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Personales, culturales y recreativos y bienes y servicios de las AAPP. Pagos"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1993",1618,"_","_","_","_","_","_","_","_","_","_","_","_",2718,"_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1993",2002,"_","_","_","_","_","_","_","_","_","_","_","_",3060,"_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1993",2202,"_","_","_","_","_","_","_","_","_","_","_","_",3225,"_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1993",2203,"_","_","_","_","_","_","_","_","_","_","_","_",3312,"_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1994",2090,"_","_","_","_","_","_","_","_","_","_","_","_",3174,"_","_","_","_","_","_","_","_","_","_","_","_"
