"CÓDIGO DE LA SERIE",DEEQ.N.ES.W1.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.E1.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.B6.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.I9.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.DE.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.BE.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.NL.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.FR.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.IT.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.PT.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.K11.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.G6.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.GB.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.A1.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.A2A5ZZ.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.A7.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.F1.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.S1.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.P7.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.R55.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.R9.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.R4.S1.S1.T.C.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.W1.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.E1.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.B6.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.I9.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.DE.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.BE.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.NL.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.FR.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.IT.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.PT.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.K11.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.G6.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.GB.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.A1.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.A2A5ZZ.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.A7.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.F1.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.S1.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.P7.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.R55.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.R9.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.R4.S1.S1.T.D.OS._Z._Z._Z.EUR._T._X.N.ALL
"NÚMERO SECUENCIAL",2417270,2716598,3814316,4328830,2716596,2716594,2716614,2716604,2716612,2716620,4328874,4025145,2716606,2716584,3295290,2716588,2716602,2716628,4164228,4736668,2716626,2716622,2417275,2716599,3814317,4328832,2716597,2716595,2716615,2716605,2716613,2716621,4328876,4025147,2716607,2716585,3295295,2716589,2716603,2716629,4164246,4736667,2716627,2716623
"ALIAS DE LA SERIE","BE_17_4B.1","BE_17_4B.2","BE_17_4B.3","BE_17_4B.4","BE_17_4B.5","BE_17_4B.6","BE_17_4B.7","BE_17_4B.8","BE_17_4B.9","BE_17_4B.10","BE_17_4B.11","BE_17_4B.12","BE_17_4B.13","BE_17_4B.14","BE_17_4B.15","BE_17_4B.16","BE_17_4B.17","BE_17_4B.18","BE_17_4B.19","BE_17_4B.20","BE_17_4B.21","BE_17_4B.22","BE_17_4B.23","BE_17_4B.24","BE_17_4B.25","BE_17_4B.26","BE_17_4B.27","BE_17_4B.28","BE_17_4B.29","BE_17_4B.30","BE_17_4B.31","BE_17_4B.32","BE_17_4B.33","BE_17_4B.34","BE_17_4B.35","BE_17_4B.36","BE_17_4B.37","BE_17_4B.38","BE_17_4B.39","BE_17_4B.40","BE_17_4B.41","BE_17_4B.42","BE_17_4B.43","BE_17_4B.44"
"DESCRIPCIÓN DE LA SERIE","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Europa. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a UE 27. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a UEM 20. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Alemania. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Bélgica. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Países Bajos. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Francia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Italia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Portugal. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a UE 27 extra UEM 20. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Europa extra UE 27. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Reino Unido. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a América. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a América del Norte y Central. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a América del Sur. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a África. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Asia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a OCDE. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a OPEP. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a NIC. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a ASEAN. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Europa. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a UE 27. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a UEM 20. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Alemania. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Bélgica. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Países Bajos. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Francia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Italia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Portugal. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a UE 27 extra UEM 20. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Europa extra UE 27. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Reino Unido. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a América. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a América del Norte y Central. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a América del Sur. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a África. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a Asia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a OCDE. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a OPEP. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a NIC. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. Servicios no turísticos. España frente a ASEAN. Pagos"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1993",1618,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2718,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1993",2002,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3060,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1993",2202,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3225,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1993",2203,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3312,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1994",2090,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3174,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1994",2348,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3287,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1994",2374,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3422,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1994",2698,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3659,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1995",2491,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3785,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1995",2905,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3921,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
