"CÓDIGO DE LA SERIE",DEEQ.N.ES.W1.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.E1.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.B6.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.I9.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.DE.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.BE.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.NL.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.FR.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.IT.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.IE.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.PT.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.K11.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.G6.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.GB.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.RU.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.CH.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.A1.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.A2A5ZZ.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.US.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.A7.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.F1.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL,DEEQ.N.ES.S1.S1.S1.T.C.SD._Z._Z._Z.EUR._T._X.N.ALL
"NÚMERO SECUENCIAL",2417272,3862207,3862247,4328831,3862208,3862209,3862210,3862211,3862212,4101822,3862213,4328875,4025146,3862246,3862224,3862223,3862217,3862218,3862225,3862219,3862220,3862221
"ALIAS DE LA SERIE","BE_17_4C.1","BE_17_4C.2","BE_17_4C.3","BE_17_4C.4","BE_17_4C.5","BE_17_4C.6","BE_17_4C.7","BE_17_4C.8","BE_17_4C.9","BE_17_4C.10","BE_17_4C.11","BE_17_4C.12","BE_17_4C.13","BE_17_4C.14","BE_17_4C.15","BE_17_4C.16","BE_17_4C.17","BE_17_4C.18","BE_17_4C.19","BE_17_4C.20","BE_17_4C.21","BE_17_4C.22"
"DESCRIPCIÓN DE LA SERIE","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Europa. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a UE 27. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a UEM 20. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Alemania. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Bélgica. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Países Bajos. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Francia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Italia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Irlanda. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Portugal. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a UE 27 extra UEM 20. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Europa extra UE 27. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Reino Unido. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Rusia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Suiza. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a América. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a América del Norte y Central. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Estados Unidos. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a América del Sur. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a África. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. Turismo. España frente a Asia. Ingresos"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros"
"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 1993",2667,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1993",3712,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1993",5707,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1993",3365,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1994",2995,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1994",4656,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1994",6280,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1994",3757,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1995",3140,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1995",5392,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1995",6964,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1995",3864,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1996",3622,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1996",5712,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1996",7676,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1996",4311,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1997",3902,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1997",6305,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1997",8900,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1997",4951,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1998",4437,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1998",7253,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1998",9827,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1998",5717,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1999",5195,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1999",8345,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1999",10937,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1999",6376,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2000",5757,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2000",9289,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2000",12196,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2000",7072,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2001",6291,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2001",9960,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2001",13017,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2001",7180,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2002",6438,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2002",9394,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2002",12799,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2002",7269,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2003",6629,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2003",10245,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2003",13405,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2003",7522,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2004",6940,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2004",10063,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2004",14175,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2004",8191,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2005",7332,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
