"CÓDIGO DE LA SERIE",DEEA.N.ES.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.E1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.B6.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.I9.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.DE.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.AT.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.BE.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CY.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.HR.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.SK.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.SI.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.EE.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.FI.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.FR.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.GR.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.IE.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.IT.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.LV.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.LT.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.LU.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.MT.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.NL.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.PT.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.K11.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.BG.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.DK.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.HU.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.PL.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CZ.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.RO.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.SE.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.G6.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.IS.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.LI.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.NO.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.GB.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CH.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.RU.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.TR.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.F1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.F4.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.EG.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.MA.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.F2.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.NG.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.ZA.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.A1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.A2.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CA.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.US.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.A5.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.MX.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.A7.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.AR.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.BR.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CL.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.UY.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.VE.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.S1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.S3.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.S35.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.S37.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.IL.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.S6.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CN.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.KR.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.PH.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.HK.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.IN.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.ID.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.JP.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.MY.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.SG.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.TH.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.TW.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.O1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.AU.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.NZ.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.R12.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL
"NÚMERO SECUENCIAL",2922772,2922773,3814356,4328797,2922776,3072680,2922777,3072681,3072692,3072682,3072683,3072684,3072685,2922779,3072750,3072686,2922780,3072687,3072688,3072689,3072690,2922778,2922781,4328841,3072691,3072693,3072752,3072694,3072695,3072696,3072697,4025105,3072699,3072700,3072701,2922782,3072702,3072703,3072704,2922785,3072706,3072707,3072708,3072710,3072711,3072712,2922783,3072714,3072715,3072716,3072718,3072719,2922784,3072721,3072722,3072723,3072724,3072725,2922786,3072727,3072728,3072729,3072730,3072732,3072733,3072734,3072735,3072736,3072737,3072738,3072739,3072740,3072741,3072742,3072743,2922787,3072745,3072746,3072753
"ALIAS DE LA SERIE","BE_17_4D.1","BE_17_4D.2","BE_17_4D.3","BE_17_4D.4","BE_17_4D.5","BE_17_4D.6","BE_17_4D.7","BE_17_4D.8","BE_17_4D.9","BE_17_4D.10","BE_17_4D.11","BE_17_4D.12","BE_17_4D.13","BE_17_4D.14","BE_17_4D.15","BE_17_4D.16","BE_17_4D.17","BE_17_4D.18","BE_17_4D.19","BE_17_4D.20","BE_17_4D.21","BE_17_4D.22","BE_17_4D.23","BE_17_4D.24","BE_17_4D.25","BE_17_4D.26","BE_17_4D.27","BE_17_4D.28","BE_17_4D.29","BE_17_4D.30","BE_17_4D.31","BE_17_4D.32","BE_17_4D.33","BE_17_4D.34","BE_17_4D.35","BE_17_4D.36","BE_17_4D.37","BE_17_4D.38","BE_17_4D.39","BE_17_4D.40","BE_17_4D.41","BE_17_4D.42","BE_17_4D.43","BE_17_4D.44","BE_17_4D.45","BE_17_4D.46","BE_17_4D.47","BE_17_4D.48","BE_17_4D.49","BE_17_4D.50","BE_17_4D.51","BE_17_4D.52","BE_17_4D.53","BE_17_4D.54","BE_17_4D.55","BE_17_4D.56","BE_17_4D.57","BE_17_4D.58","BE_17_4D.59","BE_17_4D.60","BE_17_4D.61","BE_17_4D.62","BE_17_4D.63","BE_17_4D.64","BE_17_4D.65","BE_17_4D.66","BE_17_4D.67","BE_17_4D.68","BE_17_4D.69","BE_17_4D.70","BE_17_4D.71","BE_17_4D.72","BE_17_4D.73","BE_17_4D.74","BE_17_4D.75","BE_17_4D.76","BE_17_4D.77","BE_17_4D.78","BE_17_4D.79"
"DESCRIPCIÓN DE LA SERIE","Balanza de Pagos. Cuenta corriente. Servicios. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Europa. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a UE 27. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a UEM 20. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Alemania. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Austria. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Bélgica. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Chipre. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Croacia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Eslovaquia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Eslovenia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Estonia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Finlandia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Francia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Grecia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Irlanda. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Italia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Letonia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Lituania. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Luxemburgo. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Malta. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Países Bajos. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Portugal. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a UE 27 extra UEM 20. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Bulgaria. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Dinamarca. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Hungría. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Polonia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a República Checa. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Rumanía. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Suecia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Europa extra UE 27. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Islandia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Liechtenstein. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Noruega. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Reino Unido. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Suiza. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Rusia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Turquía. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a África. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Norte de África. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Egipto. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Marruecos. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Otros países de África. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Nigeria. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Sudáfrica. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a América. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a América del Norte. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Canadá. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Estados Unidos. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a América Central. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a México. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a América del Sur. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Argentina. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Brasil. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Chile. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Uruguay. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Venezuela. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Asia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Oriente Próximo y Medio. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Golfo Pérsico. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Otros países de Oriente Próximo y Medio. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Israel. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Otros países de Asia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a China. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Corea del Sur. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Filipinas. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Hong Kong. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a India. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Indonesia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Japón. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Malasia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Singapur. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Tailandia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Taiwán. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Australia, Oceanía y regiones polares. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Australia. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Nueva Zelanda. Ingresos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Centros off-shore. Ingresos"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros"
"FRECUENCIA","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL"
"2013",97575,74088,49050,43224,12567,660,2847,41,40,90,67,49,885,12075,184,2054,3599,99,129,725,127,4331,2610,5825,"_",1438,126,691,480,264,2084,24843,60,16,1848,14972,4347,2457,453,2671,1452,200,595,1195,24,341,14749,5427,516,4911,3307,1378,5923,870,1592,542,240,1175,5187,2140,1673,467,254,3021,338,312,37,182,255,54,837,68,481,122,73,816,569,63,1884
"2014",103141,77881,51156,44975,12557,683,2813,49,48,85,65,74,853,12417,217,2150,4016,108,96,1122,117,4810,2659,6180,"_",1432,167,768,483,301,2137,26569,103,11,1849,15956,5066,2190,629,2749,1664,282,698,1072,30,230,15949,6291,482,5808,3105,1535,6471,931,1851,757,318,829,5652,2622,2118,504,294,3025,388,367,66,201,283,61,781,82,278,129,82,856,599,61,1769
"2015",109155,81166,54226,47659,13132,765,3173,58,77,113,82,68,798,12233,297,2513,4363,99,102,1302,159,5500,2792,6567,425,1407,227,980,575,350,2117,26845,127,14,1567,16963,4843,1634,837,3206,2102,293,903,1100,27,271,17015,7153,702,6450,3378,1861,6416,1013,1621,848,272,497,6539,2950,2315,635,409,3587,614,422,91,184,315,101,912,93,281,125,109,1166,674,73,2087
"2016",117070,86631,57837,50404,13791,1030,3247,49,79,155,101,110,799,12672,349,2887,4418,100,155,1330,274,6019,2812,7433,358,1700,219,1054,672,442,2567,28786,134,21,1399,18665,5352,1578,845,3626,2548,321,1175,1078,53,291,17666,7230,802,6427,3971,2300,6463,1020,1570,827,250,444,8245,3990,3299,691,459,4252,877,525,115,233,389,114,787,123,343,139,153,816,671,112,2204
