"CÓDIGO DE LA SERIE",DEEA.N.ES.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.E1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.B6.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.I9.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.DE.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.AT.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.BE.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CY.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.HR.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.SK.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.SI.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.EE.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.FI.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.FR.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.GR.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.IE.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.IT.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.LV.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.LT.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.LU.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.MT.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.NL.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.PT.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.K11.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.BG.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.DK.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.HU.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.PL.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CZ.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.RO.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.SE.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.G6.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.IS.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.LI.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.NO.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.GB.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CH.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.RU.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.TR.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.F1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.F4.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.EG.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.MA.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.F2.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.NG.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.ZA.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.A1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.A2.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CA.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.US.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.A5.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.MX.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.A7.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.AR.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.BR.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CL.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.UY.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.VE.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.S1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.S3.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.S35.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.S37.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.IL.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.S6.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.CN.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.KR.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.PH.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.HK.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.IN.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.ID.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.JP.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.MY.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.SG.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.TH.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.TW.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.O1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.AU.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.NZ.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,DEEA.N.ES.R12.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL
"NÚMERO SECUENCIAL",2922792,2922793,3814357,4328803,2922796,3072802,2922797,3072803,3072816,3072804,3072805,3072806,3072807,2922799,3072808,3072809,2922800,3072810,3072811,3072812,3072813,2922798,2922801,4328847,3072815,3072817,3072818,3072819,3072820,3072821,3072822,4025112,3072824,3072825,3072826,2922802,3072827,3072828,3072829,2922805,3072830,3072831,3072832,3072833,3072834,3072835,2922803,3072836,3072837,3072838,3072839,3072840,2922804,3072841,3072842,3072843,3072844,3072845,2922806,3072846,3072847,3072848,3072849,3072850,3072851,3072852,3072853,3072854,3072855,3072856,3072857,3072858,3072859,3072860,3072861,2922807,3072862,3072863,3072864
"ALIAS DE LA SERIE","BE_17_4E.1","BE_17_4E.2","BE_17_4E.3","BE_17_4E.4","BE_17_4E.5","BE_17_4E.6","BE_17_4E.7","BE_17_4E.8","BE_17_4E.9","BE_17_4E.10","BE_17_4E.11","BE_17_4E.12","BE_17_4E.13","BE_17_4E.14","BE_17_4E.15","BE_17_4E.16","BE_17_4E.17","BE_17_4E.18","BE_17_4E.19","BE_17_4E.20","BE_17_4E.21","BE_17_4E.22","BE_17_4E.23","BE_17_4E.24","BE_17_4E.25","BE_17_4E.26","BE_17_4E.27","BE_17_4E.28","BE_17_4E.29","BE_17_4E.30","BE_17_4E.31","BE_17_4E.32","BE_17_4E.33","BE_17_4E.34","BE_17_4E.35","BE_17_4E.36","BE_17_4E.37","BE_17_4E.38","BE_17_4E.39","BE_17_4E.40","BE_17_4E.41","BE_17_4E.42","BE_17_4E.43","BE_17_4E.44","BE_17_4E.45","BE_17_4E.46","BE_17_4E.47","BE_17_4E.48","BE_17_4E.49","BE_17_4E.50","BE_17_4E.51","BE_17_4E.52","BE_17_4E.53","BE_17_4E.54","BE_17_4E.55","BE_17_4E.56","BE_17_4E.57","BE_17_4E.58","BE_17_4E.59","BE_17_4E.60","BE_17_4E.61","BE_17_4E.62","BE_17_4E.63","BE_17_4E.64","BE_17_4E.65","BE_17_4E.66","BE_17_4E.67","BE_17_4E.68","BE_17_4E.69","BE_17_4E.70","BE_17_4E.71","BE_17_4E.72","BE_17_4E.73","BE_17_4E.74","BE_17_4E.75","BE_17_4E.76","BE_17_4E.77","BE_17_4E.78","BE_17_4E.79"
"DESCRIPCIÓN DE LA SERIE","Balanza de Pagos. Cuenta corriente. Servicios. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Europa. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a UE 27. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a UEM 20. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Alemania. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Austria. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Bélgica. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Chipre. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Croacia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Eslovaquia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Eslovenia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Estonia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Finlandia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Francia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Grecia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Irlanda. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Italia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Letonia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Lituania. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Luxemburgo. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Malta. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Países Bajos. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Portugal. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a UE 27 extra UEM 20. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Bulgaria. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Dinamarca. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Hungría. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Polonia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a República Checa. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Rumanía. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Suecia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Europa extra UE 27. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Islandia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Liechtenstein. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Noruega. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Reino Unido. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Suiza. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Rusia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Turquía. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a África. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Norte de África. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Egipto. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Marruecos. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Otros países de África. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Nigeria. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Sudáfrica. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a América. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a América del Norte. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Canadá. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Estados Unidos. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a América Central. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a México. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a América del Sur. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Argentina. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Brasil. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Chile. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Uruguay. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Venezuela. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Asia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Oriente Próximo y Medio. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Golfo Pérsico. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Otros países de Oriente Próximo y Medio. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Israel. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Otros países de Asia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a China. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Corea del Sur. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Filipinas. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Hong Kong. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a India. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Indonesia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Japón. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Malasia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Singapur. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Tailandia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Taiwán. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Australia, Oceanía y regiones polares. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Australia. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Nueva Zelanda. Pagos","Balanza de Pagos. Cuenta corriente. Servicios. España frente a Centros off-shore. Pagos"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros","Millones de euros"
"FRECUENCIA","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL","ANUAL"
"2013",45556,32757,24549,21777,4832,251,1319,45,44,36,29,16,137,6105,140,1681,2078,14,24,702,146,1898,2282,2772,104,393,263,228,146,364,504,8208,43,3,144,4871,1548,391,426,1009,605,134,320,404,15,100,7694,4163,219,3939,1392,540,2139,257,505,197,77,213,2354,594,442,152,117,1760,519,42,33,205,178,37,357,43,133,90,23,263,160,13,1593
"2014",50305,36562,27368,24135,5301,257,1313,63,32,56,35,9,105,6779,135,2161,2139,21,43,870,257,1992,2553,3233,113,424,351,294,136,487,519,9194,41,3,166,5092,2054,428,408,973,569,98,345,404,13,87,8044,4629,215,4407,1282,525,2133,211,582,198,72,117,2637,633,505,129,102,2000,634,68,28,286,206,22,314,45,176,88,26,347,166,20,2141
"2015",55701,39421,29531,25874,5303,380,1369,66,77,46,42,26,147,7977,306,1769,2550,22,68,763,280,2038,2627,3658,158,493,173,525,251,496,557,9890,87,"_",273,6028,2039,244,493,1753,1095,207,667,658,37,106,9491,4878,218,4647,1998,773,2613,354,707,287,107,96,3545,866,633,233,140,2676,613,133,45,249,333,79,341,44,221,209,26,700,430,17,2083
"2016",58797,41856,31553,27563,5465,349,1353,63,116,71,48,60,102,7866,356,2294,2682,31,57,945,252,2611,2820,3990,199,588,224,594,268,556,612,10303,111,1,368,6801,1759,268,353,2306,1440,301,897,866,22,102,9897,5226,296,4917,2308,1058,2364,398,459,249,150,56,3705,773,579,194,134,2910,700,141,54,299,373,109,335,19,201,314,28,440,264,38,1708
