macro_sector,lv1,lit_lv1,lv2,lit_lv2,lv3,lit_lv3,codigo_nc8
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022110
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022130
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022190
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022910
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022921
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022941
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022949
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022951
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022959
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022969
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022991
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01022999
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01029020
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01029091
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,01029099
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111112,Carne fresca o refrigerada de  bovino,02011000
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111112,Carne fresca o refrigerada de  bovino,02012020
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111112,Carne fresca o refrigerada de  bovino,02012030
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111112,Carne fresca o refrigerada de  bovino,02012050
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111112,Carne fresca o refrigerada de  bovino,02012090
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111112,Carne fresca o refrigerada de  bovino,02013000
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111113,Carne congelada de  bovino,02021000
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111113,Carne congelada de  bovino,02022010
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111113,Carne congelada de  bovino,02022030
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111113,Carne congelada de  bovino,02022050
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111113,Carne congelada de  bovino,02022090
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111113,Carne congelada de  bovino,02023010
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111113,Carne congelada de  bovino,02023050
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111113,Carne congelada de  bovino,02023090
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111114,Preparaciones y despojos de  bovino,02102010
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111114,Preparaciones y despojos de  bovino,02102090
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111114,Preparaciones y despojos de  bovino,02109951
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111114,Preparaciones y despojos de  bovino,02109959
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111114,Preparaciones y despojos de  bovino,16025010
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111114,Preparaciones y despojos de  bovino,16025031
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111114,Preparaciones y despojos de  bovino,16025095
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111114,Preparaciones y despojos de  bovino,16029061
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111114,Preparaciones y despojos de  bovino,16029069
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111115,Despojos de bovino,02061010
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111115,Despojos de bovino,02061095
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111115,Despojos de bovino,02061098
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111115,Despojos de bovino,02062100
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111115,Despojos de bovino,02062200
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111115,Despojos de bovino,02062910
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111115,Despojos de bovino,02062991
Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111115,Despojos de bovino,02062999
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111211,Animales vivos de  ovino-caprino,01041010
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111211,Animales vivos de  ovino-caprino,01041030
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111211,Animales vivos de  ovino-caprino,01041080
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111211,Animales vivos de  ovino-caprino,01042010
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111211,Animales vivos de  ovino-caprino,01042090
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02041000
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02042100
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02042210
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02042230
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02042250
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02042290
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02042300
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02043000
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044100
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044210
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044230
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044250
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044290
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044310
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044390
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045011
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045015
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045019
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045031
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045039
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045051
