"year","flujo","macro_sector","lv1","lit_lv1","lv2","lit_lv2","lv3","lit_lv3","total_millones","top_paises_lv1","tva_lv1","top_paises_lv2","tva_lv2","top_paises_lv3","tva_lv3"
2021,"E","Agroalimentario","11","Sectores Cárnicos","1111","Bovino","111111","Animales vivos de bovinos",249.18,"China, Francia, Portugal",NA,"Portugal, Italia, Francia",NA,"Argelia, Libia, Líbano",NA
2021,"E","Agroalimentario","11","Sectores Cárnicos","1111","Bovino","111112","Carne fresca o refrigerada de  bovino",686.61,"China, Francia, Portugal",NA,"Portugal, Italia, Francia",NA,"Portugal, Italia, Grecia",NA
2021,"E","Agroalimentario","11","Sectores Cárnicos","1111","Bovino","111113","Carne congelada de  bovino",204.19,"China, Francia, Portugal",NA,"Portugal, Italia, Francia",NA,"Portugal, Francia, Países Bajos",NA
2021,"E","Agroalimentario","11","Sectores Cárnicos","1111","Bovino","111114","Preparaciones y despojos de  bovino",29.92,"China, Francia, Portugal",NA,"Portugal, Italia, Francia",NA,"Portugal, Francia, Italia",NA
2021,"E","Agroalimentario","11","Sectores Cárnicos","1111","Bovino","111115","Despojos de bovino",61.46,"China, Francia, Portugal",NA,"Portugal, Italia, Francia",NA,"Francia, Portugal, Italia",NA
2021,"E","Agroalimentario","11","Sectores Cárnicos","1112","Ovino-caprino","111211","Animales vivos de  ovino-caprino",130.09,"China, Francia, Portugal",NA,"Francia, Italia, Arabia Saudí",NA,"Arabia Saudí, Francia, Jordania",NA
2021,"E","Agroalimentario","11","Sectores Cárnicos","1112","Ovino-caprino","111212","Carne de ovino-caprino",281.64,"China, Francia, Portugal",NA,"Francia, Italia, Arabia Saudí",NA,"Francia, Italia, Israel",NA
2021,"E","Agroalimentario","11","Sectores Cárnicos","1112","Ovino-caprino","111213","Preparaciones de  ovino-caprino",2.33,"China, Francia, Portugal",NA,"Francia, Italia, Arabia Saudí",NA,"Cuba, Portugal, Reino Unido",NA
2021,"E","Agroalimentario","11","Sectores Cárnicos","1112","Ovino-caprino","111214","Despojos",10.33,"China, Francia, Portugal",NA,"Francia, Italia, Arabia Saudí",NA,"Grecia, Francia, Italia",NA
2021,"E","Agroalimentario","11","Sectores Cárnicos","1113","Porcino","111311","Animales vivos de porcino",123.24,"China, Francia, Portugal",NA,"China, Francia, Japón",NA,"Portugal, Alemania, Italia",NA
