year,flujo,macro_sector,lv1,lit_lv1,lv2,lit_lv2,lv3,lit_lv3,lv4,lit_lv4,total_millones,top_paises_lv1,tva_lv1,top_paises_lv2,tva_lv2,top_paises_lv3,tva_lv3,top_paises_lv4,tva_lv4
2021,E,Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111111,Animales vivos de bovinos,NA,NA,249.18,"China, Francia, Portugal",NA,"Portugal, Italia, Francia",NA,"Argelia, Libia, Líbano",NA,"Argelia, Libia, Líbano",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111112,Carne fresca o refrigerada de  bovino,NA,NA,686.61,"China, Francia, Portugal",NA,"Portugal, Italia, Francia",NA,"Portugal, Italia, Grecia",NA,"Portugal, Italia, Grecia",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111113,Carne congelada de  bovino,NA,NA,204.19,"China, Francia, Portugal",NA,"Portugal, Italia, Francia",NA,"Portugal, Francia, Países Bajos",NA,"Portugal, Francia, Países Bajos",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111114,Preparaciones y despojos de  bovino,NA,NA,29.92,"China, Francia, Portugal",NA,"Portugal, Italia, Francia",NA,"Portugal, Francia, Italia",NA,"Portugal, Francia, Italia",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1111,Bovino,111115,Despojos de bovino,NA,NA,61.46,"China, Francia, Portugal",NA,"Portugal, Italia, Francia",NA,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111211,Animales vivos de  ovino-caprino,NA,NA,130.09,"China, Francia, Portugal",NA,"Francia, Italia, Arabia Saudí",NA,"Arabia Saudí, Francia, Jordania",NA,"Arabia Saudí, Francia, Jordania",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,NA,NA,281.64,"China, Francia, Portugal",NA,"Francia, Italia, Arabia Saudí",NA,"Francia, Italia, Israel",NA,"Francia, Italia, Israel",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111213,Preparaciones de  ovino-caprino,NA,NA,2.33,"China, Francia, Portugal",NA,"Francia, Italia, Arabia Saudí",NA,"Cuba, Portugal, Reino Unido",NA,"Cuba, Portugal, Reino Unido",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111214,Despojos,NA,NA,10.33,"China, Francia, Portugal",NA,"Francia, Italia, Arabia Saudí",NA,"Grecia, Francia, Italia",NA,"Grecia, Francia, Italia",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111311,Animales vivos de porcino,NA,NA,123.24,"China, Francia, Portugal",NA,"China, Francia, Japón",NA,"Portugal, Alemania, Italia",NA,"Portugal, Alemania, Italia",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,NA,NA,1714.12,"China, Francia, Portugal",NA,"China, Francia, Japón",NA,"Francia, Italia, Portugal",NA,"Francia, Italia, Portugal",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,NA,NA,3787.58,"China, Francia, Portugal",NA,"China, Francia, Japón",NA,"China, Japón, Corea del Sur",NA,"China, Japón, Corea del Sur",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111314,Tocino de porcino,NA,NA,179.29,"China, Francia, Portugal",NA,"China, Francia, Japón",NA,"China, Filipinas, Portugal",NA,"China, Filipinas, Portugal",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111315,Jamones y paleta de porcino,NA,NA,568.31,"China, Francia, Portugal",NA,"China, Francia, Japón",NA,"Francia, Alemania, Italia",NA,"Francia, Alemania, Italia",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111316,Preparaciones de  porcino,NA,NA,689.29,"China, Francia, Portugal",NA,"China, Francia, Japón",NA,"Francia, Reino Unido, Portugal",NA,"Francia, Reino Unido, Portugal",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111317,Despojos de  porcino,NA,NA,760.58,"China, Francia, Portugal",NA,"China, Francia, Japón",NA,"China, Filipinas, Francia",NA,"China, Filipinas, Francia",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111411,Animales vivos de  aves,NA,NA,79.06,"China, Francia, Portugal",NA,"Francia, Portugal, Alemania",NA,"Portugal, Argelia, Marruecos",NA,"Portugal, Argelia, Marruecos",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,NA,NA,414.15,"China, Francia, Portugal",NA,"Francia, Portugal, Alemania",NA,"Francia, Portugal, Sudáfrica",NA,"Francia, Portugal, Sudáfrica",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,NA,NA,246.68,"China, Francia, Portugal",NA,"Francia, Portugal, Alemania",NA,"Francia, Portugal, Países Bajos",NA,"Francia, Portugal, Países Bajos",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,NA,NA,105.68,"China, Francia, Portugal",NA,"Francia, Portugal, Alemania",NA,"Portugal, Polonia, Alemania",NA,"Portugal, Polonia, Alemania",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1115,Otros animales,111511,Otros animales vivos,NA,NA,75.63,"China, Francia, Portugal",NA,"Italia, Dinamarca, Países Bajos",NA,"Países Bajos, Emiratos Árabes Unidos, Francia",NA,"Países Bajos, Emiratos Árabes Unidos, Francia",NA
2021,E,Agroalimentario,11,Sectores Cárnicos,1115,Otros animales,111512,Carne de otros animales,NA,NA,119.12,"China, Francia, Portugal",NA,"Italia, Dinamarca, Países Bajos",NA,"Italia, Dinamarca, Francia",NA,"Italia, Dinamarca, Francia",NA
2021,E,Agroalimentario,12,Lácteos,1211,Lácteos,121111,Leche,NA,NA,420.12,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA,"Francia, China, Portugal",NA,"Francia, China, Portugal",NA
2021,E,Agroalimentario,12,Lácteos,1211,Lácteos,121112,Mantequilla,NA,NA,92.64,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA,"Italia, Francia, Bélgica",NA,"Italia, Francia, Bélgica",NA
2021,E,Agroalimentario,12,Lácteos,1211,Lácteos,121113,Quesos,NA,NA,562.6,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA,"Francia, Estados Unidos, Portugal",NA,"Francia, Estados Unidos, Portugal",NA
2021,E,Agroalimentario,12,Lácteos,1211,Lácteos,121114,Yogures y lactosueros,NA,NA,178.18,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA,"Francia, China, Portugal",NA,"Francia, China, Portugal",NA
2021,E,Agroalimentario,13,Pesca,1311,Pesca,131111,Peces vivos,NA,NA,61.52,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Francia, Portugal",NA,"Italia, Francia, Portugal",NA
2021,E,Agroalimentario,13,Pesca,1311,Pesca,131112,Pescado fresco,NA,NA,641.93,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA
2021,E,Agroalimentario,13,Pesca,1311,Pesca,131113,Pescado congelado,NA,NA,1053.8,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA
2021,E,Agroalimentario,13,Pesca,1311,Pesca,131114,"Moluscos, crustáceos y otros invertebrados acuá",NA,NA,1563.67,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA
2021,E,Agroalimentario,13,Pesca,1311,Pesca,131115,Los demás preparados de productos de la pesca,NA,NA,123.56,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA
2021,E,Agroalimentario,13,Pesca,1311,Pesca,131116,Conservas de pescados,NA,NA,886.45,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Francia, Portugal",NA,"Italia, Francia, Portugal",NA
2021,E,Agroalimentario,13,Pesca,1311,Pesca,131117,Conservas de moluscos y crustaceos,NA,NA,252.24,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Estados Unidos, Francia, Italia",NA,"Estados Unidos, Francia, Italia",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141111,Trigo,NA,NA,116.81,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Mauritania",NA,"Portugal, Francia, Mauritania",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141112,Cebada,NA,NA,71.53,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Argelia, Francia",NA,"Portugal, Argelia, Francia",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141113,Maiz,NA,NA,72.5,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Francia, Portugal, Reino Unido",NA,"Francia, Portugal, Reino Unido",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141114,Arroz,NA,NA,161.63,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Bélgica, Reino Unido, Francia",NA,"Bélgica, Reino Unido, Francia",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141115,Otros cereales,NA,NA,31.62,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Estados Unidos",NA,"Portugal, Francia, Estados Unidos",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141116,Harina de trigo,NA,NA,37.83,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, República Dominicana",NA,"Portugal, Francia, República Dominicana",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141117,Otras harinas,NA,NA,16.68,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Omán",NA,"Portugal, Francia, Omán",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141118,Malta,NA,NA,33.25,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Brasil, Túnez",NA,"Portugal, Brasil, Túnez",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141119,Almidón,NA,NA,67.18,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Francia, Portugal, Marruecos",NA,"Francia, Portugal, Marruecos",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141120,Grañones y sémola de trigo,NA,NA,39.9,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Francia, Côte d’Ivoire, Mali",NA,"Francia, Côte d’Ivoire, Mali",NA
2021,E,Agroalimentario,14,Cereales y productos de molinera,1411,Cereales,141121,Otros productos de cereales,NA,NA,143.75,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Francia, Reino Unido, Portugal",NA,"Francia, Reino Unido, Portugal",NA
2021,E,Agroalimentario,15,Industrias alimentarias y piensos,1511,Industrias alimentarias,151111,Residuos de porductos alimentarios,NA,NA,463.29,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA,"Francia, Italia, Portugal",NA,"Francia, Italia, Portugal",NA
2021,E,Agroalimentario,15,Industrias alimentarias y piensos,1511,Industrias alimentarias,151112,Piensos,NA,NA,1018.1,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA
2021,E,Agroalimentario,16,Flores y plantas,1611,Flores y plantas,161111,Flores y plantas,NA,NA,571.35,"Francia, Países Bajos, Portugal",NA,"Francia, Países Bajos, Portugal",NA,"Francia, Países Bajos, Portugal",NA,"Francia, Países Bajos, Portugal",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171112,Pimiento,NA,NA,1325.6,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Reino Unido, Francia",NA,"Alemania, Reino Unido, Francia",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171113,Pepino,NA,NA,724.28,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Reino Unido, Países Bajos",NA,"Alemania, Reino Unido, Países Bajos",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171114,Lechuga,NA,NA,881.04,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171115,Patata,NA,NA,113.19,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Portugal, Alemania, Bélgica",NA,"Portugal, Alemania, Bélgica",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171116,Cebolla,NA,NA,141.91,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Reino Unido, Portugal",NA,"Alemania, Reino Unido, Portugal",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171117,Ajos,NA,NA,409.34,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Estados Unidos, Italia",NA,"Alemania, Estados Unidos, Italia",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171118,Zanahoria,NA,NA,83.13,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Francia, Alemania, Países Bajos",NA,"Francia, Alemania, Países Bajos",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171119,Las demas hortalizas frescas,NA,NA,1342.47,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171120,Hortalizas congeladas,NA,NA,671.66,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Francia, Alemania, Reino Unido",NA,"Francia, Alemania, Reino Unido",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171121,Hortalizas conservadas o secas,NA,NA,120.83,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Italia",NA,"Alemania, Francia, Italia",NA
2021,E,Agroalimentario,17,Hortalizas y legumbres,1711,Hortalizas y legumbres,171122,Legumbres,NA,NA,41.83,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Países Bajos, Francia",NA,"Alemania, Países Bajos, Francia",NA
2021,E,Agroalimentario,18,Frutas,1811,Frutas,181111,Cítricos,NA,NA,3497.45,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA
2021,E,Agroalimentario,18,Frutas,1811,Frutas,181112,Melones y sandías,NA,NA,732.74,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA
2021,E,Agroalimentario,18,Frutas,1811,Frutas,181114,Fresas,NA,NA,722.54,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Reino Unido, Francia",NA,"Alemania, Reino Unido, Francia",NA
